Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Oct 2024,SDN,47208125,first projection,2024-10-01,2024-11-30,all,47528425,1.0
Oct 2024,SDN,47208125,first projection,2024-10-01,2024-11-30,3+,24517843,0.51
Oct 2024,SDN,47208125,first projection,2024-10-01,2024-11-30,1,7388526,0.16
Oct 2024,SDN,47208125,first projection,2024-10-01,2024-11-30,2,15622067,0.33
Oct 2024,SDN,47208125,first projection,2024-10-01,2024-11-30,3,15894224,0.33
Oct 2024,SDN,47208125,first projection,2024-10-01,2024-11-30,4,8098590,0.17
Oct 2024,SDN,47208125,first projection,2024-10-01,2024-11-30,5,525029,0.01
Oct 2024,SDN,47208125,second projection,2024-12-01,2025-05-31,all,47528425,1.0
Oct 2024,SDN,47208125,second projection,2024-12-01,2025-05-31,3+,24630048,0.51
Oct 2024,SDN,47208125,second projection,2024-12-01,2025-05-31,1,7276322,0.16
Oct 2024,SDN,47208125,second projection,2024-12-01,2025-05-31,2,15622067,0.33
Oct 2024,SDN,47208125,second projection,2024-12-01,2025-05-31,3,15894224,0.33
Oct 2024,SDN,47208125,second projection,2024-12-01,2025-05-31,4,8098590,0.17
Oct 2024,SDN,47208125,second projection,2024-12-01,2025-05-31,5,637234,0.01
Apr 2024,SDN,47208125,current,2024-04-01,2024-05-31,all,47208125,1.0
Apr 2024,SDN,47208125,current,2024-04-01,2024-05-31,3+,21311946,0.45
Apr 2024,SDN,47208125,current,2024-04-01,2024-05-31,1,9036411,0.19
Apr 2024,SDN,47208125,current,2024-04-01,2024-05-31,2,16859767,0.36
Apr 2024,SDN,47208125,current,2024-04-01,2024-05-31,3,14603918,0.31
Apr 2024,SDN,47208125,current,2024-04-01,2024-05-31,4,6554877,0.14
Apr 2024,SDN,47208125,current,2024-04-01,2024-05-31,5,153152,0
Apr 2024,SDN,47208125,first projection,2024-06-01,2024-09-30,all,47208125,1.0
Apr 2024,SDN,47208125,first projection,2024-06-01,2024-09-30,3+,25597400,0.54
Apr 2024,SDN,47208125,first projection,2024-06-01,2024-09-30,1,6426647,0.14
Apr 2024,SDN,47208125,first projection,2024-06-01,2024-09-30,2,15184078,0.32
Apr 2024,SDN,47208125,first projection,2024-06-01,2024-09-30,3,16309134,0.34
Apr 2024,SDN,47208125,first projection,2024-06-01,2024-09-30,4,8533005,0.18
Apr 2024,SDN,47208125,first projection,2024-06-01,2024-09-30,5,755262,0.02
Apr 2024,SDN,47208125,second projection,2024-10-01,2025-02-28,all,47208125,1.0
Apr 2024,SDN,47208125,second projection,2024-10-01,2025-02-28,3+,21085206,0.45
Apr 2024,SDN,47208125,second projection,2024-10-01,2025-02-28,1,8673628,0.18
Apr 2024,SDN,47208125,second projection,2024-10-01,2025-02-28,2,17449291,0.37
Apr 2024,SDN,47208125,second projection,2024-10-01,2025-02-28,3,14589317,0.31
Apr 2024,SDN,47208125,second projection,2024-10-01,2025-02-28,4,6386945,0.14
Apr 2024,SDN,47208125,second projection,2024-10-01,2025-02-28,5,108944,0
Oct 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,all,48190706,1.0
Oct 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,3+,17726882,0.37
Oct 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,1,12481185,0.26
Oct 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,2,17982640,0.37
Oct 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,3,12828395,0.27
Oct 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,4,4898486,0.1
Oct 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,5,0,0
Jun 2023,SDN,48579711,current,2023-06-01,2023-06-30,all,48579711,1.0
Jun 2023,SDN,48579711,current,2023-06-01,2023-06-30,3+,16915999,0.35
Jun 2023,SDN,48579711,current,2023-06-01,2023-06-30,1,13593729,0.28
Jun 2023,SDN,48579711,current,2023-06-01,2023-06-30,2,18069983,0.37
Jun 2023,SDN,48579711,current,2023-06-01,2023-06-30,3,12038785,0.25
Jun 2023,SDN,48579711,current,2023-06-01,2023-06-30,4,4877214,0.1
Jun 2023,SDN,48579711,current,2023-06-01,2023-06-30,5,0,0
Jun 2023,SDN,48579711,first projection,2023-07-01,2023-09-30,all,48579711,1.0
Jun 2023,SDN,48579711,first projection,2023-07-01,2023-09-30,3+,20293352,0.42
Jun 2023,SDN,48579711,first projection,2023-07-01,2023-09-30,1,11194025,0.23
Jun 2023,SDN,48579711,first projection,2023-07-01,2023-09-30,2,17092334,0.35
Jun 2023,SDN,48579711,first projection,2023-07-01,2023-09-30,3,14037556,0.29
Jun 2023,SDN,48579711,first projection,2023-07-01,2023-09-30,4,6255796,0.13
Jun 2023,SDN,48579711,first projection,2023-07-01,2023-09-30,5,0,0
Jun 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,all,48579711,1.0
Jun 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,3+,14976697,0.31
Jun 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,1,14254063,0.29
Jun 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,2,19348952,0.4
Jun 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,3,11153161,0.23
Jun 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,4,3823536,0.08
Jun 2023,SDN,48579711,second projection,2023-10-01,2024-02-29,5,0,0
May 2022,SDN,47881435,current,2022-04-01,2022-05-31,all,47881430,1.0
May 2022,SDN,47881435,current,2022-04-01,2022-05-31,3+,9648034,0.2
May 2022,SDN,47881435,current,2022-04-01,2022-05-31,1,21336498,0.45
May 2022,SDN,47881435,current,2022-04-01,2022-05-31,2,16896898,0.35
May 2022,SDN,47881435,current,2022-04-01,2022-05-31,3,7325982,0.15
May 2022,SDN,47881435,current,2022-04-01,2022-05-31,4,2322051,0.05
May 2022,SDN,47881435,current,2022-04-01,2022-05-31,5,0,0
May 2022,SDN,47881435,first projection,2022-06-01,2022-09-30,all,47881430,1.0
May 2022,SDN,47881435,first projection,2022-06-01,2022-09-30,3+,11653068,0.24
May 2022,SDN,47881435,first projection,2022-06-01,2022-09-30,1,18648033,0.39
May 2022,SDN,47881435,first projection,2022-06-01,2022-09-30,2,17580330,0.37
May 2022,SDN,47881435,first projection,2022-06-01,2022-09-30,3,8549970,0.18
May 2022,SDN,47881435,first projection,2022-06-01,2022-09-30,4,3103098,0.06
May 2022,SDN,47881435,first projection,2022-06-01,2022-09-30,5,0,0
May 2022,SDN,47881435,second projection,2022-10-01,2023-02-28,all,47881430,1.0
May 2022,SDN,47881435,second projection,2022-10-01,2023-02-28,3+,7738781,0.16
